Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Max Scherzer’s Stellar Performance Against the A’s Sparks New Beginning for Blue Jays ⚾","https://i2.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2FG6ugpVXhhOlf1O5Sl3MrFg--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2F79cc49a858113263ad7b149e2d638698?ssl=1","sports","","Max Scherzer delivered a dominant performance, striking out 8 batters and allowing only 5 hits in five innings against the Athletics, earning his first win since July 2022. Despite injury setbacks, he showcased his Cy Young-caliber talent, helping the Blue Jays secure a 7-6 victory. With Scherzer’s resurgence, the team’s pitching depth gets","https://www.onlytrustedinfo.com/blue-jays-starter-max-scherzer-hopes-performance-against-the-as-is-just-the-beginning/","2025-07-13",""
"Euro 2025 Highlights Gender Gap as Men Still Outnumber Women Coaches Despite Progress","https://i1.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2Fvozvkmwar7V.LSdbF2HKTw--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2Fbbc2f7b155adefc832f648436b04e7e9?ssl=1","sports","","Euro 2025 showcases progress in women’s soccer coaching, with 7 trophy-winning teams led by female coaches since 1997. Despite this, men still outnumber","https://www.onlytrustedinfo.com/euro-2025-even-after-women-coaches-long-title-winning-run-they-are-still-outnumbered-by-men/","2025-07-13",""
"Fiji Dominates Scotland 29-14 as Darcy Graham Gets Red Card in Pacific Tour Match 🔥","https://i3.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2F70V1ON.8I2wzuu1LvB3OcQ--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2Ff1a54992ed0ae37dcfd45e3b53a0e48d?ssl=1","sports","","Fiji Dominates Scotland 29-14 as Darcy Graham Gets Red Card in Pacific Tour Match 🔥","https://www.onlytrustedinfo.com/darcy-graham-red-carded-as-fiji-beats-scotland-29-14-on-the-2nd-match-of-its-pacific-tour/","2025-07-13",""
"Max Scherzer Secures First Win in Nearly a Year as Blue Jays Hold Off A’s 7-6 ⚾","https://i0.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2FFme5Zl.B3Kd.6CIQKv6pgw--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2F0920dfc907908357605ab4c2ab045992?ssl=1","sports","","Max Scherzer’s dominant performance led the Blue Jays to a 7-6 victory over the Athletics, striking out eight batters over six innings and securing his first win in nearly a year. Toronto’s offense shined with six unearned runs in the fifth inning, boosting their winning streak to 13 of","https://www.onlytrustedinfo.com/max-scherzer-wins-for-first-time-in-nearly-a-year-as-blue-jays-hold-on-to-beat-the-as-7-6/","2025-07-13",""
"Aaron Judge's Amazing Defensive Plays Spark Yankees’ Win Over Cubs ⚾","https://i1.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2Fn7WU6HIWBukYaUyWp_esaQ--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2Fdb9777e01491bca2922354c296a2e84a?ssl=1","sports","","Aaron Judge’s spectacular defense stole the show, making three incredible catches against the Cubs, including robbing Pete Crow-Armstrong of his 26th home run. Standing 6-foot-7, Judge leaped 327 feet to snag Crow-Armstrong’s drive, while also robbing Dansby Swanson and Kyle Tucker with backhand catches. His defensive prowess helped secure a crucial Yankees victory and showcased his elite athleticism. Discover how Judge’s defensive heroics could impact the Yankees’ season and what’s next","https://www.onlytrustedinfo.com/yankees-aaron-judge-makes-3-outstanding-catches-robs-cubs-pete-crow-armstrong-of-home-run/","2025-07-13",""
"Bears Secure GM Ryan Poles with Contract Extension Through 2029 🏈","https://i1.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2FNRDcoAfWvDj0rAWRAACiVw--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Faol_field_level_media_articles_659%2F3dc886e494b9a80b3848432ea245c173?ssl=1","sports","","Chicago Bears GM Ryan Poles secures a three-year extension through 2029, solidifying his leadership beyond 2027. At just 36 in 2022, he took over from Ryan Pace and has since orchestrated a smooth organizational rhythm alongside head coach Ben Johnson, who signed a five-year deal in January. With Poles’ strategic vision and consistent leadership, the Bears are positioning for long-term success. Discover what this means for the team’s future and who might be next in line to make an impact.","https://www.onlytrustedinfo.com/reports-bears-extend-gm-ryan-poles-through-2029/","2025-07-13",""
"Giants' Power Surge Sends Dodgers to","https://i2.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2FvkYJawUCXfbTrc3PHLLAPw--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2F2c7a85536d1801a588d4f4732d1c246b?ssl=1","sports","","Willy Adames delivered a key home run and a two-run triple, fueling the Giants' 8-7 victory over the Dodgers, who suffered their seventh straight loss","https://www.onlytrustedinfo.com/willy-adames-jung-hoo-lee-each-drive-in-three-runs-as-giants-send-dodgers-to-seventh-straight-loss/","2025-07-13",""
"Kelsey Mitchell Leads Fever’s 59-Point Second Half Surge to Defeat Dream 🔥","https://i1.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2FpOA5DgeZPdHOJBLTz0GiIg--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2F467a86d1e4250c2e0c34510098cc90a4?ssl=1","sports","","Kelsey Mitchell’s 25 points fueled the Indiana Fever’s powerful 59-point second-half rally to beat the Atlanta Dream","https://www.onlytrustedinfo.com/kelsey-mitchell-scores-25-and-the-fever-use-a-59-point-second-half-to-beat-the-dream/","2025-07-13",""
"Angels Edge Out Diamondbacks 6-5 in Ninth-Inning Thriller with d’Arnaud’s RBI Single ⚾","https://i0.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2Fyip_.Sy_Nk.KRieoRCF4PA--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjc-%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2F713367039511c35a7cf62e2971b74be4?ssl=1","sports","","Travis d’Arnaud’s clutch RBI single in the ninth inning powered the Angels to a 6-5 win over the Diamondbacks, highlighting a thrilling late-game comeback. Logan O’Hoppe was hit by a pitch before Luis Rengifo’s single set the stage. Zach Neto and Yoan Moncada opened the scoring with home runs, while Nolan","https://www.onlytrustedinfo.com/angels-slip-past-diamondbacks-6-5-on-darnauds-rbi-single-in-ninth/","2025-07-13",""
"Red Sox Pitcher Hunter Dobbins Exits Game with Knee Pain After Covering First Base","https://i0.wp.com/res.cloudinary.com/glide/image/fetch/https%3A%2F%2Fs.yimg.com%2Fny%2Fapi%2Fres%2F1.2%2F6ZSuIK4l.rDltIUTR_L_nA--%2FYXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD0xMDQ2%2Fhttps%3A%2F%2Fmedia.zenfs.com%2Fen%2Fap.org%2Fd1754f5d4e00c041a1139558aeed0fb0?ssl=1","sports","","Red Sox Pitcher Hunter Dobbins Exits Game with Knee Pain After Covering First Base","https://www.onlytrustedinfo.com/red-sox-starter-hunter-dobbins-leaves-game-vs-tampa-bay-due-to-right-knee-pain-after-put-out/","2025-07-13",""
